time,open,high,low,close,volume
1785486600,63912.68,63942.22,63818.39,63857.98,0.03301
1785487500,63857.98,63890.08,63822.48,63844.97,0.14543
1785488400,63831.6,63846.31,63772.72,63806.11,0.04011
1785489300,63739.47,63769.8,63700.71,63703.5,0.01349
1785490200,63730.22,63730.22,63640.53,63717.88,2.77042
1785491100,63712.67,63727.13,63701.65,63701.65,0.01393
1785492000,63700.17,63741.77,63641.13,63741.77,0.02803
1785492900,63729.71,63818.83,63724.95,63818.83,0.1212
1785493800,63818.83,63891.03,63818.83,63891.03,2.99137
1785494700,63914.16,63943.0,63886.04,63936.51,0.08406
1785495600,63943.0,64006.21,63903.35,63903.35,0.00775
1785496500,63903.35,63960.08,63890.37,63960.08,2.85522
1785497400,63866.53,63866.53,63855.74,63855.74,0.0071
1785498300,63851.84,63851.84,63810.87,63817.58,0.09837
1785499200,63789.79,63789.79,63712.0,63732.32,0.07763
1785500100,63718.04,63776.21,63718.04,63776.21,0.00425
1785501000,63738.81,63738.81,63640.13,63665.03,0.01008
1785501900,63730.78,63764.81,63682.26,63764.81,0.00943
1785502800,63775.97,63775.97,63740.49,63740.49,0.06707
1785503700,63787.12,63836.66,63769.78,63826.06,0.10184
1785504600,63811.4,63811.4,63471.93,63471.93,0.25642
1785505500,63471.93,63518.83,63232.61,63272.19,0.45444
1785506400,63273.65,63291.77,62480.81,62686.11,4.25809
1785507300,62691.02,62720.86,62525.09,62614.73,7.22126
1785508200,62654.82,62810.19,62623.0,62675.69,0.19042
1785509100,62663.6,62811.66,62599.34,62731.11,0.62991
1785510000,62628.13,62710.19,62582.12,62617.78,0.3567
1785510900,62613.2,62704.39,62500.0,62529.41,0.2095
1785511800,62578.07,62754.34,62563.7,62722.98,0.26463
1785512700,62755.0,62764.25,62668.39,62730.25,0.22076
1785513600,62718.13,62887.0,62718.13,62855.3,0.3772
1785514500,62856.74,62924.08,62797.92,62898.09,0.44658
1785515400,62891.25,62897.38,62810.12,62850.43,0.14838
1785516300,62850.42,62878.49,62802.24,62878.49,0.69169
1785517200,62869.55,62915.79,62811.15,62899.85,0.279
1785518100,62899.85,62981.32,62868.93,62981.32,0.75915
1785519000,62961.69,63079.73,62959.43,63065.11,3.42613
1785519900,63092.17,63284.85,63077.76,63238.97,0.07933
1785520800,63232.68,63256.25,63133.77,63139.33,3.19378
1785521700,63145.4,63172.1,63062.98,63064.66,0.28012
1785522600,63085.64,63086.44,62963.76,63027.0,1.70867
1785523500,63045.22,63177.07,63045.22,63101.78,0.03749
1785524400,63117.6,63146.56,63045.72,63068.6,0.11012
1785525300,63074.58,63074.58,63019.0,63021.47,0.04829
1785526200,62967.09,62988.86,62956.1,62964.67,0.19125
